MP_options_title;MP options;x;
MP_options_desc;Useless decisions while playing alone. Will only take up space on your menu.;x;
will_give_title;Enable giving grants;x;
will_give_desc;Allows you to receive the event to give and receive grants;x;
will_not_give_title;Disable giving grants;x;
will_not_give_desc;You will stop seeing the events for giving and receiving grants.;x;
will_receive_title;Request a grant;x;
will_receive_desc;Ask other players if they accept giving you money.;x;
Annexation_of_Bosnia_title;Annexation of Bosnia;x;
Annexation_of_Bosnia_desc;Bosnia has been under our influence for a long time, and with a weak Ottoman Empire, it is our duty to keep them safe;x;
Rename_Pest_title;Rename Pest;x;
Rename_Pest_desc;Pest, Buda and Óbuda are too close to each other to keep them separated;x;
Holy_Roman_Empire_title;Unite the German Confederation;x;
Holy_Roman_Empire_desc;The German Confederation has to be centralised by the stronger power,us,Austria;x;
violate_neutrality_title;Violate neutrality;x;
violate_neutrality_desc;Switzerland has declared perpetual neutrality, but we can change it;x;
senegal_is_ours_title;Colonise Senegal;x;
senegal_is_ours_desc;Senegalese ports have been under our control for a long time, and it is time we take over the whole region;x;
cote_d'ivoire_title;Colonise Cote D'ivoire;x;
cote_d'ivoire_desc;Cote D'ivoire ports have been under our control for a long time, and it is time we take over the whole region;x;
French_caledonia_title;Colonise Caledonia;x;
French_caledonia_desc;Being an important trade centre of Sandalwood, explorers have been interested in acquiring these islands. It is time we monopolise the market of Sandalwood in the region;x;
OUR_LANDS_BACK_title;French natural borders;x;
OUR_LANDS_BACK_desc;France's always aimed at greatness, and now, with Belgium completely controlled by us, that dream might just come true;x;
form_Iberia_desc;The Iberian peninsula has been united once. We can give it a second chance;x;
form_Iberia_title;Form Iberia;x;
western_sahara_is_ours_title;Colonise Western Sahara;x;
western_sahara_is_ours_desc;Lands west to the Sahara have been under $COUNTRY_ADJ$ influence for a long time, that desert is rightfully ours and no other Great Power will make us renounce our place under the sun;x;
german_new_guinea_title;Colonise New Guinea;x;
german_new_guinea_desc;Being a Great Power, we must claim our place under the sun.;x;
appoint_von_bismark_title;Appoint Otto Von Bismark;x;
appoint_von_bismark_desc;We need a chancellor that know what his duty is, and Otto Von Bismark shows great talent at diplomacy.;x;
intervene_in_lagos_title;Intervene in Lagos;x;
intervene_in_lagos_desc;With the raging scramble for Africa,we must stablish what is rightfully ours.;x;
english_zululand_title;English Zululand;x;
english_zululand_desc;Zulu has been under English influence for a long time, and now it is time to stablish a protectorate there.;x;
